정류소명,정류소ID,승차건수(총합계),하차건수(총합계),승차건수(카드),하차건수(카드),승차건수(현금),일평균 승하차건수
청라복합문화센터,89219,632,289,595,289,37,30
청라센텀로제비앙,89295,1329,1042,1327,1042,2,79
청라센텀로제비앙,89296,1180,1066,1163,1066,17,74
청라센텀로제비앙정문앞,89346,38,79,38,79,0,3
청라센트럴에일린의뜰,42834,4158,3469,4111,3469,47,254
청라센트럴에일린의뜰104동,42990,4477,1569,4399,1569,78,201
청라센트럴에일린의뜰106동,42892,9784,4855,9535,4855,249,487
청라스타필드,89417,23,31,23,31,0,1
청라스타필드,89418,64,480,61,480,3,18
청라시티프라디움,89334,1393,1678,1369,1678,24,102
청라시티프라디움,89335,2455,792,2395,792,60,108
청라우미린,42862,488,4535,466,4535,22,167
청라우미린아파트,89290,2956,9306,2931,9306,25,408
청라웰카운티221동,89288,39,317,37,317,2,11
청라웰카운티223동,42997,1301,226,1283,226,18,50
청라자이,42742,11885,3560,11656,3560,229,514
청라중앙호수공원입구,89021,12118,9345,12016,9345,102,715
청라중앙호수공원입구,89024,7892,12871,7856,12871,36,692
청라중학교,42848,1338,2038,1324,2038,14,112
청라초등학교,89281,5253,7017,5230,7017,23,409
청라초등학교,89282,5168,6328,5101,6328,67,383
청라파크자이상가,89299,691,944,661,944,30,54
청라파크자이상가,89300,668,588,664,588,4,41
청라푸르지오,89217,774,1180,763,1180,11,65
청라한양수자인레이크블루,89348,2454,1580,2404,1580,50,134
청라한양수자인레이크블루,89351,1909,1850,1899,1850,10,125
청라한화꿈에그린,89123,1554,774,1548,774,6,77
청라한화꿈에그린,89124,715,935,708,935,7,55
청라호반베르디움.포리공원,42899,1816,524,1795,524,21,78
청라호반베르디움.포리공원,42919,707,1955,688,1955,19,88
청라호수공원(남측),42861,2858,998,2765,998,93,128
청라호수공원(남측),42863,1349,2424,1301,2424,48,125
청라호수공원한신더휴,42870,5563,621,5335,621,228,206
청라호수공원한신더휴아파트,89291,13063,6109,12862,6109,201,639
청라힐스테이트,42987,891,2901,858,2901,33,126
청라힐스테이트,42988,3715,487,3539,487,176,140
청람중학교,89018,1768,2016,1736,2016,32,126
청람중학교,89019,2292,2320,2249,2320,43,153
청람초등학교,89279,5598,9085,5582,9085,16,489
청람초등학교,89280,9272,7365,9137,7365,135,554
청량중학교,38086,11388,4216,11138,4216,250,520
청련사입구,43766,54,199,54,199,0,8
청련사입구,43841,128,20,127,20,1,4
청룡정,41633,162,9,151,9,11,5
청룡정,41634,2,222,2,222,0,7
청소년수련관,42612,2582,28,2525,28,57,87
청소년수련관,42613,41,2841,12,2841,29,96
청소년수련관,43078,56,31,42,31,14,2
청소년수련관,43079,26,18,26,18,0,1
청소년수련관.어린이과학관,41307,12370,9343,12084,9343,286,723
청소년수련관.어린이과학관,41308,7121,9418,6919,9418,202,551
청송1단지.중흥S클래스,80090,126,155,124,155,2,9
청송1단지.중흥S클래스,80102,583,203,582,203,1,26
청송2.3단지,80089,104,119,104,119,0,7
청송2.3단지,80101,303,96,303,96,0,13
청송마을.성우오스타,80329,93,132,92,132,1,7
청송부락,90092,0,10,0,10,0,0
청송부락,90093,10,0,10,0,0,0
청양골,42775,4,59,4,59,0,2
청운대삼거리(하늘꿈교회),37433,5772,4477,5601,4477,171,341
청운대삼거리(하늘꿈교회),37500,3027,3545,2985,3545,42,219
청운대후문.한전제물포지사,37632,356,1149,343,1149,13,50
청운대후문.한전제물포지사,37633,150,1476,137,1476,13,54
청정주말농장,39852,3,200,3,200,0,6
청천농장,40538,127,1536,124,1536,3,55
청천농장,42511,1180,268,1147,268,33,48
청천농장(종점),40520,3802,32,3714,32,88,127
청천농장입구,40558,461,226,441,226,20,22
청천농장입구,40809,5,558,1,558,4,18
청천도서관,40426,1462,2097,1459,2097,3,118
청천도서관,40427,1024,714,983,714,41,57
청천동,40808,310,8,310,8,0,10
청천동무지개아파트,40617,909,3317,847,3317,62,140
청천동무지개아파트,40618,3227,894,3199,894,28,137
청천중학교,40449,1457,2545,1411,2545,46,133
청천중학교,40455,1302,2286,1270,2286,32,119
청천천공영주차장,40896,342,1402,335,1402,7,58
청천천공영주차장,41639,330,1423,328,1423,2,58
청천초등학교,40582,3185,5327,3054,5327,131,283
청천초등학교,40586,19579,6234,19224,6234,355,860
청천초등학교,40587,4547,12631,4436,12631,111,572
청천초등학교후문,40574,1480,12122,1453,12122,27,453
